This is the real secret of life — to be completely engaged with what you are doing in the here and now. And instead of calling it work, realize it is play.|Alan Watts
For things to reveal themselves to us, we need to be ready to abandon our views about them.|Thích Nhat Hanh
To study the Buddha Way is to study the self. To study the self is to forget the self. To forget the self is to be actualized by myriad things.|Dogen Zenji
When you do something, you should burn yourself up completely, like a good bonfire, leaving no trace of yourself.|Shunryu Suzuki
Be content with what you have; rejoice in the way things are. When you realize there is nothing lacking, the whole world belongs to you.|Lao Tzu
If the doors of perception were cleansed, everything would appear to man as it is, infinite.|William Blake
We are here to awaken from our illusion of separateness.|Thích Nhat Hanh
Do not suppose that what you realize becomes your knowledge and is grasped by your intellect.|Dogen Zenji
Not thinking about anything is Zen. Once you know this, walking, sitting, or lying down, everything you do is Zen.|Bodhidharma
Mindfulness isn’t difficult, we just need to remember to do it.|Sharon Salzberg
Begin at once to live, and count each separate day as a separate life.|Seneca
The basic root of happiness lies in our minds; outer circumstances are nothing more than adverse or favorable.|Matthieu Ricard
The whole moon and the entire sky are reflected in one dewdrop on the grass.|Dogen Zenji
Walk as if you are kissing the Earth with your feet.|Thích Nhat Hanh
Whatever has the nature of arising has the nature of ceasing.|The Buddha
We are awakened to the profound realization that the true path to liberation is to let go of everything.|Jack Kornfeld
Enlightenment is like the moon reflected on the water. The moon does not get wet, nor is the water broken.|Dogen Zenji
Drink your tea slowly and reverently, as if it is the axis on which the world earth revolves — slowly, evenly, without rushing toward the future.|Thích Nhat Hanh
Zen is not some kind of excitement, but concentration on our usual everyday routine.|Shunryu Suzuki
Before enlightenment; chop wood, carry water. After enlightenment; chop wood, carry water.|The Buddha
To carry the self forward and illuminate myriad things is delusion. That myriad things come forth and illuminate the self is awakening.|Dogen Zenji
We have only now, only this single eternal moment opening and unfolding before us, day and night.|Jack Kornfeld
The most precious gift we can offer others is our presence. When mindfulness embraces those we love, they will bloom like flowers.|Thích Nhat Hanh
Perfection of character is this: to live each day as if it were your last, without frenzy, without apathy, without pretense.|Marcus Aurelius
Zen does not confuse spirituality with thinking about God while one is peeling potatoes. Zen spirituality is just to peel the potatoes.|Alan Watts
